Bullied_in_school,Bullied_outside_school,Cyber_bullied,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
No,No,No,14 years old,Female,0 times,0 times,Rarely,1,0 days,Most of the time,Never,No,No,No,Yes,No
No,Yes,Yes,15 years old,Female,0 times,2 or 3 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
No,Yes,Yes,14 years old,Female,1 time,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,Yes,No,No
Yes,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Always,No,No,No,No,No
No,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
No,Yes,No,15 years old,Male,1 time,1 time,Never,3 or more,0 days,Always,Rarely,No,No,No,Yes,Yes
No,Yes,Yes,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Rarely,Yes,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Rarely,No,No,No,No,No
Yes,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Sometimes,No,No,No,Yes,No
No,No,No,15 years old,Male,0 times,0 times,Rarely,1,0 days,Rarely,Rarely,No,No,No,No,No
No,No,No,17 years old,Male,0 times,1 time,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Rarely,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Most of the time,1,0 days,Sometimes,Rarely,Yes,No,No,No,No
Yes,No,Yes,15 years old,Female,0 times,0 times,Most of the time,0,0 days,Never,Never,Yes,No,No,No,No
